SCH_DEP_DATE,cargo_diff
2020-01-05,356505.4400000004
2020-01-06,-1156887.17
2020-01-07,481314.0599999996
2020-01-08,754262.3899999997
2020-01-09,-57878.58999999985
2020-01-10,158722.25
2020-01-11,506441.2400000002
2020-01-12,-53907.46999999974
2020-01-13,-1189160.7300000004
2020-01-14,423749.2999999998
2020-01-15,970815.5300000003
2020-01-16,-366519.01999999955
2020-01-17,478010.41000000015
2020-01-18,282351.20999999996
2020-01-19,-183533.35000000056
2020-01-20,-1293542.6899999995
2020-01-21,579101.5800000001
2020-01-22,715529.3399999999
2020-01-23,-457090.45999999996
2020-01-24,380615.38999999966
2020-01-25,66158.44000000041
2020-01-26,-200103.84000000078
2020-01-27,-1465855.29
2020-01-28,185812.34000000078
2020-01-29,462672.0499999998
2020-01-30,-81252.95999999996
2020-01-31,-113640.33000000007
2020-02-01,402281.9500000002
2020-02-02,282172.14999999944
2020-02-03,-858061.9799999995
2020-02-04,274137.5499999998
2020-02-05,343443.20999999996
2020-02-06,-73174.21999999974
2020-02-07,-117620.87000000011
2020-02-08,213483.78000000026
2020-02-09,428420.5099999998
2020-02-10,-1124633.7700000005
2020-02-11,344897.8900000006
2020-02-12,314468.79000000004
2020-02-13,191744.11999999918
2020-02-14,-132072.4899999993
2020-02-15,316748.0099999998
2020-02-16,436345.8499999996
2020-02-17,-1605577.33
2020-02-18,842957.6600000001
2020-02-19,966106.9800000004
2020-02-20,-223647.24000000022
2020-02-21,-10399.879999999888
2020-02-22,129476.78000000026
2020-02-23,497929.89999999944
2020-02-24,-1150704.5
2020-02-25,-38483.43999999948
2020-02-26,860418.2699999996
2020-02-27,75591.61000000034
2020-02-28,-330278.58999999985
2020-02-29,411197.0
2020-03-01,340833.9299999997
2020-03-02,-1162078.2800000003
2020-03-03,354320.4500000002
2020-03-04,1077818.37
2020-03-05,-319928.8099999996
2020-03-06,26827.979999999516
2020-03-07,-220703.51999999955
2020-03-08,610301.5089999996
2020-03-09,-1595604.4390000002
2020-03-10,242923.0700000003
2020-03-11,421469.8200000003
2020-03-12,-213800.31000000052
2020-03-13,261194.04000000004
2020-03-14,-162312.5599999996
2020-03-15,-42851.020000000484
2020-03-16,-1172454.0999999996
2020-03-17,325249.95999999996
2020-03-18,-246934.83000000007
2020-03-19,332652.2999999998
2020-03-20,-105860.14999999944
2020-03-21,-497729.8400000008
2020-03-22,-453017.94999999925
2020-03-23,-1589962.9400000004
2020-03-24,-776571.46
2020-03-25,-613247.6299999999
2020-03-26,379176.61400000006
2020-03-27,72868.11599999992
2020-03-28,-426633.18999999994
2020-03-29,540917.6999999997
2020-03-30,-320884.02
2020-03-31,-466328.75
2020-04-01,924253.0900000003
2020-04-02,-194009.1000000001
2020-04-03,-312135.54000000004
2020-04-04,304522.6799999997
2020-04-05,24854.840000000317
2020-04-06,-585068.6800000002
2020-04-07,32003.220000000205
2020-04-08,603160.2739999997
2020-04-09,-123141.2080000001
2020-04-10,498954.7440000004
2020-04-11,-543349.3400000003
2020-04-12,443483.73
2020-04-13,-901460.7299999997
2020-04-14,-64455.69000000018
2020-04-15,1151849.23
2020-04-16,-441520.1799999997
2020-04-17,381053.3299999996
2020-04-18,489226.18000000017
2020-04-19,-605117.0899999999
2020-04-20,-480918.4700000002
2020-04-21,-41087.64999999991
2020-04-22,477666.8700000001
2020-04-23,270815.58999999985
2020-04-24,304000.81999999983
2020-04-25,351462.3000000003
2020-04-26,-273761.8300000001
2020-04-27,-887217.94
2020-04-28,212675.3799999999
2020-04-29,435360.2999999998
2020-04-30,424360.48
2020-05-01,-272085.5999999996
2020-05-02,298405.73
2020-05-03,-418593.61000000034
2020-05-04,-579502.7219999996
2020-05-05,96851.00399999972
2020-05-06,401947.84800000023
2020-05-07,444308.23999999976
2020-05-08,-509387.11999999965
2020-05-09,462308.3099999996
2020-05-10,12825.417000000365
2020-05-11,-510561.3160000001
2020-05-12,313899.0490000001
2020-05-13,174984.52000000002
2020-05-14,277218.81899999967
2020-05-15,-515328.15699999966
2020-05-16,934768.1179999993
2020-05-17,-389611.1799999997
2020-05-18,-1483980.08
2020-05-19,1205955.25
2020-05-20,178530.3080000002
2020-05-21,380397.6490000002
2020-05-22,-1047102.0180000002
2020-05-23,1143106.2580000004
2020-05-24,-356172.95800000057
2020-05-25,-1128668.9989999998
2020-05-26,1038699.8300000001
2020-05-27,119417.44999999972
2020-05-28,35156.29500000039
2020-05-29,-103508.53500000015
2020-05-30,557803.1219999995
2020-05-31,-317786.5669999998
2020-06-01,-788953.2789999996
2020-06-02,-153632.50100000016
2020-06-03,1310173.4700000002
2020-06-04,-518136.79000000004
2020-06-05,-37208.74800000014
2020-06-06,1057095.6539999996
2020-06-07,-739032.2619999992
2020-06-08,-989797.3640000005
2020-06-09,279638.4580000001
2020-06-10,1184787.7429999998
