SCH_DEP_DATE,CHG_WT_BU_sum,cargo_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17
2021-08-03,5350635.433,450148.7820000006,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022
2021-08-04,6047007.879,696372.4459999995,450148.7820000006,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996
2021-08-05,5665834.877,-381173.0019999994,696372.4459999995,450148.7820000006,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495
2021-08-06,6237138.649,571303.7719999999,-381173.0019999994,696372.4459999995,450148.7820000006,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923
2021-08-07,6220083.165,-17055.48400000017,571303.7719999999,-381173.0019999994,696372.4459999995,450148.7820000006,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131
2021-08-08,6118628.835,-101454.33000000007,-17055.48400000017,571303.7719999999,-381173.0019999994,696372.4459999995,450148.7820000006,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063
2021-08-09,4617560.157,-1501068.6780000003,-101454.33000000007,-17055.48400000017,571303.7719999999,-381173.0019999994,696372.4459999995,450148.7820000006,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998
2021-08-10,4918444.343,300884.1860000007,-1501068.6780000003,-101454.33000000007,-17055.48400000017,571303.7719999999,-381173.0019999994,696372.4459999995,450148.7820000006,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003
2021-08-11,5966172.466,1047728.1229999997,300884.1860000007,-1501068.6780000003,-101454.33000000007,-17055.48400000017,571303.7719999999,-381173.0019999994,696372.4459999995,450148.7820000006,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938
2021-08-12,5835467.431,-130705.03500000015,1047728.1229999997,300884.1860000007,-1501068.6780000003,-101454.33000000007,-17055.48400000017,571303.7719999999,-381173.0019999994,696372.4459999995,450148.7820000006,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001
