Flight_No,org,dst,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,Ratio,count,OPN_SUFX,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,ISO_CODE,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,EST_WT_BU,EST_VOL_BU
6600,DWC,BOM,2019-11-09T00:00:00.000Z,16268.17,79.728912,16637.57,,32,,77WEJ,J,J,10000,60,16339.71,74.339581,,AE,16339.71,74.339581,2029.39,3.05024
6600,NBO,DWC,2019-02-23T00:00:00.000Z,23475,93.154478,24101,,17,,77WER,J,J,20000,100,40000,9100,,KE,22988.97,101.391617,0,0
6600,NBO,DWC,2019-07-24T00:00:00.000Z,25001,89.6,25142,,13,,77WER,J,J,20000,100,34699.15,201.08,,KE,24699.15,101.078743,1682.15,1.929042
6600,DME,DWC,2018-02-02T00:00:00.000Z,1640,8,1640,,1,,77WER,J,J,21000,120,21000,120,,SA,33116.06,97.073054,14195.2,23.683832
6600,DME,DWC,2018-02-23T00:00:00.000Z,3960,19,3960,,2,,77WEP,J,J,20000,120,20000,120,,SA,41334,113.532096,24198.48,41.428024
6600,DME,DWC,2018-10-07T00:00:00.000Z,1368,3.35416,1368,,14,,77WER,J,J,21000,120,21000,120,,SA,42869.29,118.91018,21730.8,29.525749
6600,DME,DWC,2019-03-16T00:00:00.000Z,430,1.091826,459,,9,,77WER,J,J,20000,100,20000,100,,SA,35765.96,109.510479,13855.05,18.293713
6600,ADD,DWC,2020-02-03T00:00:00.000Z,17448,64.86604,17759,,6,,77LJ,J,J,13000,60,17448,64.87,,EG,17218.57,65.041916,2424,3.017964
6600,DWC,AKL,2020-10-07T00:00:00.000Z,1685,10.110448,1702,,2,,,,,,,,,,,17000,65,0,0
6600,MUC,DWC,2018-05-30T00:00:00.000Z,13460.95,85.423745,16004.53,,13,,77WEP,J,J,20000,120,20000,120,,GB,28998.42,108.171018,8479.6,10.057485
6600,MUC,DWC,2018-11-15T00:00:00.000Z,9800.1,46.546748,10102,,45,,388L,J,J,15000,60,25000,80,,GB,27192.12,88.96994,6730.64,7.728383
6600,MUC,DWC,2018-11-18T00:00:00.000Z,14419.8,54.567536,14632,,13,,388L,J,J,15000,60,16000,70,,GB,36651.76,101.543473,15784.44,17.391856
6600,MUC,DWC,2019-09-05T00:00:00.000Z,3522,21.090916,4212.5,,15,,388H,J,J,8000,40,8000,40,,GB,34674.43,74.724551,19326.8,24.711377
6600,MUC,DWC,2020-03-01T00:00:00.000Z,5619.6,53.256711,9570.5,,28,,388J,J,J,8000,40,19500,155,,GB,39820.65,87.636886,22955.16,25.839281
6600,LIS,DWC,2018-07-02T00:00:00.000Z,22606.9,41.394777,22860.4,,15,,77WEJ,J,J,17000,90,24500,120,,TR,21899.75,93.360359,5133.66,6.309341
6600,LIS,DWC,2018-10-30T00:00:00.000Z,17238.9,59.841022,18335.9,,11,,77LJ,J,J,13050,60,25500,80,,TR,26817.32,77.786347,15151.88,20.789701
6600,LIS,DWC,2019-02-23T00:00:00.000Z,18375.8,77.272735,19365.1,,23,,77WER,J,J,20000,100,31000,120,,TR,24360.51,94.435928,2047.6,2.68024
6600,LIS,DWC,2019-07-28T00:00:00.000Z,19865,82.94,20365,,14,,77WER,J,J,20000,100,25000,100,,TR,23437.44,91.76994,1968.78,2.687305
6600,LIS,DWC,2020-02-01T00:00:00.000Z,11931.7,82.462962,15404.11,,14,,77WER,J,J,20000,100,20000,100,,TR,27380.12,96.833892,6024.46,8.29018
6600,LIS,DWC,2020-12-30T00:00:00.000Z,25521.7,89.193385,25787,,39,,77WEJ,J,J,17000,90,80000,350,,TR,24667.64,90.381078,8414.28,11.582515
6600,LIS,DWC,2021-06-23T00:00:00.000Z,30793.64,106.05323,30936.5,,22,,77WER,J,J,20000,100,65000,270,,TR,32244.1,83.670419,14442.56,28.518323
6600,PHX,DWC,2018-07-13T00:00:00.000Z,9006.5,50.603418,9591,,19,,77WEN,J,J,10000,90,18179,180,,US,8179,80.437126,7543.8,13.555689
6600,PHX,DWC,2019-08-19T00:00:00.000Z,2566,17.108176,3669.5,,4,,77WEQ,J,J,20000,100,13453.38,78.007425,,US,13453.38,78.007425,12212.92,24.748024
6600,PHX,DWC,2019-12-29T00:00:00.000Z,5285.3,63.667889,11064.71,,11,,77WEN,J,J,10000,90,16737.5,132.41,,US,11737.5,72.41018,6462.5,12.350299
6600,PHX,DWC,2020-01-17T00:00:00.000Z,4218.57,24.996123,5068,,25,,77WEN,J,J,10000,90,13694.19,77.616168,,US,13694.19,77.616168,8024.7,14.998204
6600,DWC,ICN,2019-04-17T00:00:00.000Z,15260.11,75.420533,16484.19,,41,,388R,J,J,15000,60,48807.13,111.040958,,AE,48807.13,111.040958,28189.92,34.191138
6600,DWC,ICN,2019-10-19T00:00:00.000Z,4118,24.304517,4533.3,,23,,388R,J,J,15000,60,21889.3,82.702395,,AE,21889.3,82.702395,394.32,0.44503
6600,DWC,ICN,2019-10-22T00:00:00.000Z,6063.46,24.85035,6422.2,,28,,388R,J,J,15000,60,23408.41,83.788623,,AE,23408.41,83.788623,2075.85,2.370359
6600,DWC,TRV,2018-04-15T00:00:00.000Z,130.3,0.6695,137,,2,,77WER,J,J,21000,120,30566.59,101.139521,,AE,30566.59,101.139521,11188.3,16.217365
6600,DWC,TRV,2018-05-15T00:00:00.000Z,1210.53,6.210936,1361,,7,,77WER,J,J,21000,120,29668.72,97.838383,,AE,29668.72,97.838383,1401.79,2.166407
6600,DWC,TRV,2018-05-18T00:00:00.000Z,1126,6.254958,1217,,7,,77WER,J,J,21000,120,21582.83,82.647425,,AE,21582.83,82.647425,3718.92,5.981557
6600,DWC,TRV,2018-06-01T00:00:00.000Z,2632,10.250987,2919.5,,9,,77WER,J,J,21000,120,18701.09,78.45479,,AE,18701.09,78.45479,1203.95,1.93982
6600,DWC,TRV,2018-09-12T00:00:00.000Z,160,0.731198,160,,2,,77WER,J,J,21000,120,34892.34,105.200479,,AE,34892.34,105.200479,16406.88,25.430419
6600,DWC,TRV,2018-10-01T00:00:00.000Z,439.5,1.121793,454.5,,4,,77WER,J,J,21000,120,37533.87,108.775928,,AE,37533.87,108.775928,20031.18,32.282515
6600,DWC,TRV,2020-03-02T00:00:00.000Z,40,0.207872,46,,1,,77WEP,J,J,20000,100,32110.28,108.12485,,AE,32110.28,108.12485,13138.15,17.833234
6600,DWC,TRV,2021-08-02T00:00:00.000Z,267.2,2.060607,384,,8,,77WEP,J,J,20000,100,20000,100,,AE,38568.43,108.943533,2096.27,3.450719
6600,DWC,BOM,2018-10-06T00:00:00.000Z,4840.1,28.3565,4952,,30,,77WEJ,J,J,3000,30,11582.99,86.54,,AE,11582.99,86.54485,11535.67,17.818383
6600,DWC,BOM,2019-08-29T00:00:00.000Z,10223.3,66.681339,13242.3,,39,,77WEJ,J,J,17000,90,20068.8,86.495808,,AE,20068.8,86.495808,9352.64,13.848144
6600,DWC,BOM,2020-12-10T00:00:00.000Z,10514.04,72.263765,15001.67,,50,,77WEJ,J,J,10000,60,17000,90,,AE,7653.52,72.571976,8511.24,14.558323
6600,DWC,BOM,2021-02-25T00:00:00.000Z,10002.01,46.643783,10273.81,,33,,77WEJ,J,J,10000,60,17000,90,,AE,1295.12,59.971617,670.02,1.137844
6600,NBO,DWC,2018-10-22T00:00:00.000Z,17985,65.6102,18250,,19,,77WER,J,J,21000,120,31000,220,,KE,26505.91,101.275749,4523.85,5.532036
6600,NBO,DWC,2018-10-30T00:00:00.000Z,29932.5,119.1221,29964.5,,19,,77WER,J,J,21000,120,35500,200,,KE,35113.2,112.372455,12344.2,14.516168
6600,NBO,DWC,2019-02-22T00:00:00.000Z,22476,79.23,22874,,15,,77WER,J,J,20000,100,50000,7100,,KE,29202.57,109.964072,5803.2,6.007186
6600,NBO,DWC,2019-04-02T00:00:00.000Z,17226,67.4001,17395,,10,,77WER,J,J,20000,100,38500,200,,KE,43179.31,121.056587,20584.05,25.054192
6600,NBO,DWC,2019-05-20T00:00:00.000Z,26808,93.498976,26850,,17,,77WER,J,J,20000,100,50000,5000,,KE,26836.28,105.505509,3719.82,4.070778
6600,NBO,DWC,2021-02-24T00:00:00.000Z,12180,66.55,12631,,13,,77WER,J,J,20000,100,48584.7,125.357485,,KE,48584.7,125.357485,24956.7,31.597006
6600,DME,DWC,2018-05-11T00:00:00.000Z,4345.9,29.591269,5115.4,,41,,77LU,J,J,15000,60,15000,60,,SA,15215.24,54.157126,1995.66,3.327305
6600,DME,DWC,2018-05-17T00:00:00.000Z,5061,27.218279,5260.5,,29,,77WEP,J,J,20000,120,20000,120,,SA,26806.77,100.076467,6699.55,8.979341
6600,DME,DWC,2019-09-09T00:00:00.000Z,3226.5,11.274,3226.5,,10,,77WEN,J,J,20000,100,20000,100,,SA,33785.66,107.155389,12045.15,16.078743
6600,ADD,DWC,2019-11-25T00:00:00.000Z,16254,74.94,16886,,8,,77LJ,J,J,13000,60,16254,74.94,,EG,16536.3,64.582635,1917.1,2.377844
6600,DWC,HAN,2021-02-07T00:00:00.000Z,11967,52.493425,12100,,7,,77WF,J,H,45000,250,45000,250,,AE,17000,65,0,0
6600,DWC,AKL,2020-07-20T00:00:00.000Z,93614.88,511.10127,107081.486,,74,,,,,,,,,,,,,,
6600,AKL,SIN,2020-08-18T00:00:00.000Z,25942.2,119.733124,26374,,21,,77XF,F,F,102500,550,102500,550,,AU,,,,
6600,MEX,DWC,2021-03-10T00:00:00.000Z,7395,41.3402,7427,,10,,77WEJ,J,H,17000,90,17000,90,,KW,17000,65,0,0
6600,MEX,DWC,2021-03-21T00:00:00.000Z,5297,31.25515,5297,,3,,77WEJ,J,H,17000,90,17000,90,,KW,17000,65,0,0
6600,MEX,DWC,2021-07-02T00:00:00.000Z,3459,22.561346,3773,,5,,77WEJ,J,H,17000,90,17000,90,,KW,17000,65,0,0
6600,MUC,DWC,2018-06-09T00:00:00.000Z,12774.5,86.32575,14870.4,,11,,77WEP,J,J,20000,120,16000,100,,GB,25565.83,106.102515,4424.4,4.936527
6600,MUC,DWC,2018-09-19T00:00:00.000Z,5163.3,33.006932,6679.3,,14,,388T,J,J,10000,30,10000,35,,GB,37727.51,73.947186,24074.46,30.625509
6600,MUC,DWC,2018-10-05T00:00:00.000Z,19381,58.360868,20237.5,,10,,388L,J,J,15000,60,20000,70,,GB,39159.91,110.019162,20787,26.269461
6600,MUC,DWC,2018-10-11T00:00:00.000Z,14291,52.724171,15263.08,,13,,388R,J,J,11000,70,16000,70,,GB,34352.2,92.682994,13902.12,17.138443
6600,MUC,DWC,2019-07-16T00:00:00.000Z,4683,32.09491,5402.5,,9,,388H,J,J,8000,40,8000,40,,GB,17282.75,52.305868,1933.63,2.476826
6600,LIS,DWC,2018-04-09T00:00:00.000Z,9070.6,69.522035,13663.8,,12,,77WEJ,J,J,17000,90,21000,110,,TR,17048.85,86.230898,0,0
6600,LIS,DWC,2018-08-14T00:00:00.000Z,18496.8,51.828113,18889.8,,23,,77WEJ,J,J,17000,90,20000,100,,TR,16045.08,81.976527,0,0
6600,LIS,DWC,2019-07-30T00:00:00.000Z,19345.5,76.081609,19345.7,,21,,77WER,J,J,20000,100,30000,140,,TR,24868.3,99.000958,1800.36,2.157844
6600,LIS,DWC,2019-10-21T00:00:00.000Z,22374.7,63.777965,22375.5,,13,,77WEJ,J,J,17000,90,25000,150,,TR,21963.8,90.998802,4250.4,5.331737
6600,LIS,DWC,2021-04-08T00:00:00.000Z,26839.8,76.216793,27970,,37,,77WER,J,J,20000,100,75000,400,,TR,22278.64,84.230539,1066.1,1.593413
6600,LIS,DWC,2021-05-19T00:00:00.000Z,12772.6,42.675049,12809,,11,,77WER,J,J,20000,100,40000,300,,TR,53556.2,129.846347,32730.74,51.800838
6600,PHX,DWC,2018-03-29T00:00:00.000Z,9576.49,77.198894,13696.6,,19,,77WEN,J,J,7000,90,120563.64,207.92,,US,18563.64,87.919162,12820.5,23.595808
6600,PHX,DWC,2019-01-26T00:00:00.000Z,14067.81,62.671315,14983.83,,18,,77WEN,J,J,10000,90,24696.62,148.68,,US,20696.62,80.678683,8519.62,15.566587
6600,PHX,DWC,2019-04-16T00:00:00.000Z,46,0.761474,204.5,,3,,77WEN,J,J,10000,90,26747.2,113.593174,,US,26747.2,113.593174,25066.02,43.748623
6600,PHX,DWC,2019-10-29T00:00:00.000Z,1414,10.514485,2143,,9,,77WEN,J,J,10000,90,19040.61,81.725629,,US,19040.61,81.725629,8473.74,15.291856
6600,PHX,DWC,2021-08-21T00:00:00.000Z,1200,9.596265,1599.5,,1,,77LJ,J,J,13000,60,13000,60,,US,,,,
6600,DWC,ICN,2018-04-08T00:00:00.000Z,10542.36,51.481836,11003.5,,40,,388L,J,J,15000,60,20011.64,75.279281,,AE,20011.64,75.279281,1078.66,1.189581
6600,DWC,ICN,2018-08-22T00:00:00.000Z,8748.12,42.29979,8833.3,,19,,388L,J,J,15000,60,23611.01,78.246407,,AE,23611.01,78.246407,4524.1,5.054491
