CNTRY_MCY_ID,CNTRY_OWNER_CARR_CODE,CNTRY_CNTRY_CODE,CNTRY_COMMNTY_CODE,CNTRY_RGN_ID,CNTRY_INACTIVE,CNTRY_DTL_ID,CNTRY_CREATED_DATE,CNTRY_CREATED_BY,CNTRY_MODIFIED_DATE,CNTRY_MODIFIED_BY,CNTRY_ISO_CNTRY_CODE,CNTRY_GST_APPL_IND,CNTRY_TAX_ID_LENGTH,CNTRY_CMRCL_RGN,CTY_CCY_ID,CTY_OWNR_CARR_CODE,CTY_CTY_CODE,CTY_CTY_NAME,CTY_MTY_ID,CTY_CITY_TYP,CTY_OFFLN_CTY_IND,CTY_REPORTING_CITY,CTY_SALES_LEVEL,CTY_ADRS_ID
505,EK,ZM,,70,N,1480902,,,2006-04-20T12:52:03.000,SYS_TEMP,,,,AFR,26865,EK,CGJ,"CHINGOLA, ZAMBIA",48,,N,,,
457,EK,PF,,76,N,1480762,,,2006-04-20T12:26:54.000,SYS_TEMP,,,,,21757,EK,NHV,"NUKU HIVA, FRENCH POLYNES",48,,N,,,
457,EK,PF,,76,N,1480762,,,2006-04-20T12:26:54.000,SYS_TEMP,,,,,21828,EK,PKP,"PUKA-PUKA, FRENCH POLYNES",48,,N,,,
445,EK,MX,,68,N,1480722,,,2006-04-20T12:18:30.000,SYS_TEMP,,,,AMR,28650,EK,AGU,AGUASCALIENTES MX,48,,N,,,
387,EK,ET,,70,N,1480668,,,2006-04-20T11:58:39.000,SYS_TEMP,,,,AFR,27481,EK,JIM,"JIMMA, ETHIOPIA",48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,26607,EK,YAK,YAKUTAT,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,27800,EK,GVL,"GAINESVILLE, GEORGIA",48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,27568,EK,MAE,"MADERA (MUNI.), CALIFORNI",48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,25916,EK,VPZ,VALPARAISO,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,15070,EK,DQH,DOUGLAS MUNI GEORGIA,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,20874,EK,XDP,MONCTON RR STA,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,22855,EK,QAE,ST GEORGE ISLAND,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,17319,EK,HHG,HUNTINGTON,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,14874,EK,LHC,ARLINGTON MUNI TENNESSEE,48,,N,,,
