,Unnamed: 0,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,ORG_AIRPORT_CODE,ORG_AIRPORT_NAME,ORG_CNTRY_NAME,ORG_REGION_NAME,DST_AIRPORT_CODE,DST_AIRPORT_NAME,DST_CNTRY_NAME,DST_REGION_NAME,org_hday_flg,dst_hday_flg,EST_CHG_WT,SCH_DEP_DAY,SCH_DEP_MONTH,SCH_DEP_YEAR,Flight_No,ISO_CODE,org,dst,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,CHG_WT_BU_PREDICT
2721,2721,2020-01-19,28865.0,102.51,29017.5,20000.0,100.0,35139.08,202.6,0.0,25139.08,102.671138,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,25663.86778154061,19,1,2020,1,9,13,5,16,3,5,
1932,1932,2018-04-17,10460.64,47.86446,11564.67,15000.0,60.0,23384.16,76.31,0.0,23384.16,76.312335,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,26252.27935218516,17,4,2018,1,2,6,10,4,3,5,
5905,5905,2019-05-18,21253.6,84.15339,21941.2,20000.0,100.0,24000.0,120.0,0.0,27179.14,91.199281,LIS,Airport,PORTUGAL,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,28792.46666722024,18,5,2019,1,16,9,5,18,3,5,
3236,3236,2019-02-04,9836.8,36.312439,9951.8,3000.0,30.0,12442.6,69.656287,0.0,12442.6,69.656287,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",BOM,Chhatrapati Shivaji,INDIA,WEST ASIA & INDIAN OCEAN,0,0,12962.613803136452,4,2,2019,1,2,6,4,14,3,5,
3140,3140,2019-01-04,2621.4,13.381587,2872.0,15000.0,60.0,37319.14,100.682635,0.0,37319.14,100.682635,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,41896.4157131711,4,1,2019,1,2,6,10,4,3,5,
4163,4163,2019-04-15,469.0,2.256429,471.0,20000.0,100.0,24691.72,90.307964,0.0,24691.72,90.307964,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",TRV,International,INDIA,WEST ASIA & INDIAN OCEAN,0,0,27976.918078660696,15,4,2019,1,2,6,16,15,3,5,
7715,7715,2018-06-15,10490.0,45.354176,10745.0,15000.0,60.0,16000.0,60.0,0.0,49702.49,105.903713,MUC,International,GERMANY,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",1,1,56400.28692469565,15,6,2018,1,6,12,5,4,3,5,
3807,3807,2018-11-03,2166.0,5.795164,2210.0,20000.0,120.0,20000.0,120.0,0.0,41884.08,120.863593,DME,Domodedovo,RUSSIAN FEDERATION,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,42878.90862893262,3,11,2018,1,14,4,5,16,3,5,
8481,8481,2018-04-12,912.0,3.333996,912.0,21000.0,120.0,20087.63,85.084192,0.0,20087.63,85.084192,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",TRV,International,INDIA,WEST ASIA & INDIAN OCEAN,0,0,22760.260480211466,12,4,2018,1,2,6,16,18,3,5,
5571,5571,2019-03-19,23061.0,97.85664,23582.5,20000.0,100.0,542000.0,542.0,0.0,42306.66,121.615569,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",1,1,43189.82749243778,19,3,2019,1,9,13,5,18,3,5,
4154,4154,2020-06-20,6890.25,28.314986,7302.92,20000.0,100.0,30000.0,140.0,0.0,53663.33,133.173653,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,60245.25705129021,20,6,2020,1,2,6,10,15,3,5,
4172,4172,2019-10-20,16870.11,81.664987,17540.61,13000.0,90.0,13905.94,87.640359,0.0,13905.94,87.640359,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",BOM,Chhatrapati Shivaji,INDIA,WEST ASIA & INDIAN OCEAN,1,0,14487.111197787224,20,10,2019,1,2,6,4,18,3,5,
796,796,2019-08-12,4273.5,23.837322,4320.0,10000.0,90.0,8218.89,69.431377,0.0,8218.89,69.431377,PHX,Metropolitan Area,UNITED STATES OF AMERICA,AMERICAS,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,10405.74678824246,12,8,2019,1,17,15,5,15,3,5,
2416,2416,2018-10-07,15830.5,59.279181,16275.5,15000.0,60.0,15000.0,60.0,0.0,31086.07,91.768623,MUC,International,GERMANY,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,35275.159601886626,7,10,2018,1,6,12,5,4,3,5,
785,785,2019-09-15,7324.2,39.653481,7825.0,8000.0,40.0,8500.0,60.0,0.0,33614.35,78.982395,MUC,International,GERMANY,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,1,38144.14498724598,15,9,2019,1,6,12,5,3,3,5,
