Region,Month,From_date,to_date,Holiday,Country
Far East & Australia,Aug-19,31/08/2019,31/08/2019, Independence Day (Hari Merdeka) , Malaysia 
MIddle East & GCC,Aug-19,15/08/2019,15/08/2019, Assumption Day , Lebanon 
West -  South East Asia & Iran,Aug-19,14/08/2019,14/08/2019, Independence Day , Pakistan 
West -  South East Asia & Iran,Aug-19,15/08/2019,15/08/2019, Mourning Day , Bangladesh 
West -  South East Asia & Iran,Aug-19,15/08/2019,15/08/2019, Independence Day , India 
West -  South East Asia & Iran,Aug-19,15/08/2019,15/08/2019, Nikini full moon poya , Sri Lanka 
West -  South East Asia & Iran,Aug-19,17/08/2019,17/08/2019, Independence Day , Indonesia 
West -  South East Asia & Iran,Aug-19,19/08/2019,19/08/2019, Eid al Ghadir , Iran 
West -  South East Asia & Iran,Aug-19,24/08/2019,24/08/2019, Janmashtami ," Bangladesh, India "
Africa,Sep-19,02/09/2019,02/09/2019, Ganesh Chathurti , Mauritius 
Africa,Sep-19,07/09/2019,07/09/2019, Victory Day , Mozambique 
Africa,Sep-19,12/09/2019,12/09/2019, Enkutatash(NY) , Ethiopia 
Africa,Sep-19,16/09/2019,16/09/2019, Martyr's Day , Libya 
Africa,Sep-19,17/09/2019,17/09/2019, National Day , Angola 
Africa,Sep-19,24/09/2019,24/09/2019, Heritage Day , South Africa 
Africa,Sep-19,25/09/2019,25/09/2019, Revolution Day ," Mozambique, Yemen "
Africa,Sep-19,27/09/2019,27/09/2019, Meskel , Ethiopia 
Americas,Sep-19,02/09/2019,02/09/2019, Labour Day , USA & Canada 
Americas,Sep-19,07/09/2019,07/09/2019, Independence Day , Brazil 
Americas,Sep-19,16/09/2019,16/09/2019, Independence Day , Mexico 
Americas,Sep-19,18/09/2019,18/09/2019, Independence Day , Chile 
Americas,Sep-19,19/09/2019,19/09/2019, Army Day , Chile 
Europe & Russia,Sep-19,08/09/2019,08/09/2019, Feast of Victories , Malta 
Europe & Russia,Sep-19,21/09/2019,21/09/2019, Independence day , Malta 
Europe & Russia,Sep-19,28/09/2019,28/09/2019, St Wenceslas Day , Czech Republic 
Far East & Australia,Sep-19,01/09/2019,01/09/2019, Father's Day , Australia 
Far East & Australia,Sep-19,02/09/2019,02/09/2019, National Day , Vietnam 
Far East & Australia,Sep-19,09/09/2019,09/09/2019, King's birthday (Agong) , Malaysia 
Far East & Australia,Sep-19,16/09/2019,16/09/2019, Malaysia Day , Malaysia 
Far East & Australia,Sep-19,16/09/2019,16/09/2019, Respect for the aged , Japan 
Far East & Australia,Sep-19,23/09/2019,23/09/2019, Autumn equinox , Japan 
Far East & Australia,Sep-19,24/09/2019,24/09/2019, Constitution Day , Cambodia 
Far East & Australia,Sep-19,30/09/2019,30/09/2019, Queen's birthday , Western Australia 
MIddle East & GCC,Sep-19,23/09/2019,23/09/2019, National day , Saudi Arabia 
West -  South East Asia & Iran,Sep-19,02/09/2019,02/09/2019, Ganesh Chathurti , India 
West -  South East Asia & Iran,Sep-19,14/09/2019,14/09/2019, Binara full moon poya , Sri Lanka 
Africa,Oct-19,01/10/2019,01/10/2019, Independence Day , Nigeria 
