Region,Month,From_date,to_date,Holiday,Country
Africa,Sep-19,02/09/2019,02/09/2019, Ganesh Chathurti ,MAURITIUS
Africa,Sep-19,07/09/2019,07/09/2019, Victory Day ,MOZAMBIQUE
Africa,Sep-19,12/09/2019,12/09/2019, Enkutatash(NY) ,ETHIOPIA
Africa,Jul-21,19-Jul-21,22-Jul-21,Eid al Adha,ALL
Africa,Sep-19,17/09/2019,17/09/2019, National Day ,ANGOLA
Africa,Sep-19,24/09/2019,24/09/2019, Heritage Day ,SOUTH AFRICA
Africa,Dec-21,25-Dec-21,25-Dec-21,Christmas,ALL
Africa,Sep-19,27/09/2019,27/09/2019, Meskel ,ETHIOPIA
Americas,Jan-21,01-Jan-21,01-Jan-21,New Year,ALL
Americas,Sep-19,07/09/2019,07/09/2019, Independence Day ,BRAZIL
Americas,Sep-19,16/09/2019,16/09/2019, Independence Day ,MEXICO
Americas,Sep-19,18/09/2019,18/09/2019, Independence Day ,CHILE
Americas,Sep-19,19/09/2019,19/09/2019, Army Day ,CHILE
Europe & Russia,Sep-19,08/09/2019,08/09/2019, Feast of Victories ,MALTA
Europe & Russia,Sep-19,21/09/2019,21/09/2019, Independence day ,MALTA
Europe & Russia,Sep-19,28/09/2019,28/09/2019, St Wenceslas Day ,CZECH REPUBLIC
Far East & Australia,Sep-19,01/09/2019,01/09/2019, Father's Day ,AUSTRALIA
Far East & Australia,Sep-19,02/09/2019,02/09/2019, National Day ,VIETNAM
Far East & Australia,Sep-19,09/09/2019,09/09/2019, King's birthday (Agong) ,MALAYSIA
Far East & Australia,Sep-19,16/09/2019,16/09/2019, Malaysia Day ,MALAYSIA
Far East & Australia,Sep-19,16/09/2019,16/09/2019, Respect for the aged ,JAPAN
Far East & Australia,Sep-19,23/09/2019,23/09/2019, Autumn equinox ,JAPAN
Far East & Australia,Sep-19,24/09/2019,24/09/2019, Constitution Day ,CAMBODIA
Americas,Apr-21,02-Apr-21,04-Apr-21,Good Friday-Easter,ALL
MIddle East & GCC,Sep-19,23/09/2019,23/09/2019, National day ,SAUDI ARABIA
West -  South East Asia & Iran,Sep-19,02/09/2019,02/09/2019, Ganesh Chathurti ,INDIA
West -  South East Asia & Iran,Sep-19,14/09/2019,14/09/2019, Binara full moon poya ,SRI LANKA
Africa,Oct-19,01/10/2019,01/10/2019, Independence Day ,NIGERIA
Africa,Oct-19,04/10/2019,04/10/2019, Day of peace & reconciliation ,MOZAMBIQUE
Africa,Oct-19,06/10/2019,06/10/2019, Armed forces Day ,EGYPT
Africa,Oct-19,09/10/2019,09/10/2019, Independence Day ,UGANDA
Africa,Oct-19,14/10/2019,14/10/2019, Mwalimu Nyerere Day ,TANZANIA
Africa,Oct-19,15/10/2019,15/10/2019, Evacuation Day ,TUNISIA
Africa,Oct-19,18/10/2019,18/10/2019, National Prayer Day ,ZAMBIA
Americas,Apr-21,12-Apr-21,11-May-21,Ramadan,ALL
Africa,Oct-19,24/10/2019,24/10/2019, Independence day ,ZAMBIA
Africa,Oct-19,27/10/2019,27/10/2019, Diwali ,MAURITIUS
Americas,Oct-19,09/10/2019,09/10/2019, Independence Day of Guayaquil ,ECUADOR
Americas,Oct-19,12/10/2019,12/10/2019, Lady of Aparecida ,BRAZIL
Americas,Oct-19,14/10/2019,14/10/2019, Thanksgiving Day ,CANADA
Americas,Apr-21,30-Apr-21,02-May-21,Orthodox Good Friday & Coptic Easter,ALL
Americas,Oct-19,14/10/2019,14/10/2019, Race Day ,CHILE
Americas,Oct-19,31/10/2019,31/10/2019, Reformation Day ,CHILE
Europe & Russia,Oct-19,01/10/2019,01/10/2019, Independence Day ,CYPRUS
Europe & Russia,Oct-19,15/11/2019,16/11/2019, Unity Day ,GERMANY
Europe & Russia,Oct-19,02/11/2019,03/11/2019, Unity Day ,GERMANY
Europe & Russia,Oct-19,05/10/2019,05/10/2019, Republic day ,PORTUGAL
Europe & Russia,Oct-19,08/10/2019,08/10/2019, Independence Day ,CROATIA
Europe & Russia,Oct-19,12/10/2019,12/10/2019, Columbus Day/Hispanic day ,SPAIN
Europe & Russia,Oct-19,23/10/2019,23/10/2019, Republic day ,HUNGARY
Europe & Russia,Oct-19,26/10/2019,26/10/2019, National day ,AUSTRIA
Europe & Russia,Oct-19,28/10/2019,28/10/2019, Independence day ,CZECH REPUBLIC
Americas,May-21,01-May-21,01-May-21,Labour Day,ALL
Europe & Russia,Oct-19,29/10/2019,29/10/2019, Republic day ,TURKEY
Europe & Russia,Oct-19,31/10/2019,31/10/2019, Halloween holiday ,IRELAND
Americas,May-21,12-May-21,13-May-21,Eid al Fitr,ALL
Far East & Australia,Oct-19,03/10/2019,03/10/2019, National Foundation Day ,SOUTH KOREA
Americas,Jul-21,19-Jul-21,22-Jul-21,Eid al Adha,ALL
Americas,Dec-21,25-Dec-21,25-Dec-21,Christmas,ALL
Europe & Russia,Jan-21,01-Jan-21,01-Jan-21,New Year,ALL
Europe & Russia,Apr-21,02-Apr-21,04-Apr-21,Good Friday-Easter,ALL
Far East & Australia,Oct-19,10/10/2019,10/10/2019, ROC National day ,TAIWAN
Far East & Australia,Oct-19,14/10/2019,14/10/2019, Health & Sports Day ,JAPAN
Far East & Australia,Oct-19,15/10/2019,15/10/2019, Commemoration of King's Father ,CAMBODIA
Far East & Australia,Oct-19,23/10/2019,23/10/2019, Peace Day ,CAMBODIA
Far East & Australia,Oct-19,23/10/2019,23/10/2019, Chulalongkorn Day ,THAILAND
Far East & Australia,Oct-19,28/10/2019,28/10/2019, Labour Day ,NEW ZEALAND
Far East & Australia,Oct-19,29/10/2019,29/10/2019, King's coronation Day ,CAMBODIA
MIddle East & GCC,Oct-19,03/10/2019,03/10/2019, Independence Day ,IRAQ
West -  South East Asia & Iran,Oct-19,02/10/2019,02/10/2019, Gandhi Jayanti ,INDIA
Europe & Russia,Apr-21,12-Apr-21,11-May-21,Ramadan,ALL
West -  South East Asia & Iran,Oct-19,20/10/2019,20/10/2019, Arabaeen ,IRAN
Europe & Russia,Apr-21,30-Apr-21,02-May-21,Orthodox Good Friday & Coptic Easter,ALL
West -  South East Asia & Iran,Oct-19,29/10/2019,29/10/2019, Martryrdom of Imam Reza ,IRAN
West -  South East Asia & Iran,Oct-19,29/10/2019,29/10/2019, Quamee Dhuvas ,MALDIVES
